DATE,USD,EUR,GBP,AUD
2002-04-01,133.15,116.12,189.79,71.14
2002-04-02,133.20,117.18,191.78,71.02
2002-04-03,133.20,116.96,191.26,71.14
2002-04-04,133.10,117.15,191.13,70.81
2002-04-05,132.30,116.32,189.74,70.33
2002-04-08,131.55,115.69,188.54,69.76
2002-04-09,131.55,115.05,188.31,69.50
2002-04-10,130.70,115.16,187.84,69.41
2002-04-11,131.10,115.41,188.36,69.68
2002-04-12,131.55,115.99,189.06,70.47
2002-04-15,132.20,116.38,189.84,70.50
2002-04-16,131.85,116.01,189.49,70.10
2002-04-17,130.95,115.59,188.55,69.94
2002-04-18,130.60,116.31,188.97,70.33
2002-04-19,130.10,115.93,188.59,70.42
2002-04-22,130.30,115.99,188.62,70.40
2002-04-23,129.90,115.40,188.43,70.38
2002-04-24,130.25,115.68,188.58,70.02
2002-04-25,129.45,115.57,187.73,70.36
2002-04-26,128.75,115.62,187.43,70.08
2002-04-30,128.35,115.93,187.08,69.28
2002-05-01,128.60,115.70,187.49,69.21
2002-05-02,127.45,115.62,187.08,68.78
2002-05-07,127.00,116.60,186.55,68.64
2002-05-08,128.20,117.00,187.71,69.33
2002-05-09,128.90,116.62,187.77,69.84
2002-05-10,128.65,117.08,187.92,69.90
2002-05-13,127.30,116.36,186.39,69.30
2002-05-14,127.90,116.45,186.36,69.85
2002-05-15,128.45,115.85,186.21,70.40
2002-05-16,127.80,116.41,186.49,70.11
2002-05-17,127.75,116.55,186.20,69.97
2002-05-20,125.90,115.94,183.70,69.42
2002-05-21,125.90,115.64,183.60,69.82
2002-05-22,123.90,113.79,180.76,68.96
2002-05-23,124.40,115.13,181.62,69.44
2002-05-24,125.00,115.19,181.68,69.29
2002-05-27,124.85,115.01,181.96,69.45
2002-05-28,124.85,114.91,181.81,69.69
2002-05-29,124.70,115.80,181.91,69.98
2002-05-30,124.25,116.32,181.72,70.11
2002-05-31,123.45,115.61,180.89,69.72
2002-06-03,124.45,115.89,181.14,70.49
2002-06-04,123.65,116.22,180.80,70.96
2002-06-05,124.10,116.77,180.95,71.22
2002-06-06,124.25,116.72,181.27,71.57
2002-06-07,124.20,117.57,181.28,71.32
2002-06-10,124.55,117.56,181.81,71.04
2002-06-11,124.75,117.75,182.14,70.97
2002-06-12,125.45,118.85,184.65,71.44
2002-06-13,125.65,118.68,184.97,71.55
2002-06-14,124.95,117.70,183.79,70.67
2002-06-17,124.20,117.33,183.36,69.74
2002-06-18,124.35,117.42,183.96,69.37
2002-06-19,124.35,118.41,185.64,70.20
2002-06-20,124.25,118.80,185.16,70.29
2002-06-21,123.45,119.15,185.06,70.70
2002-06-24,121.65,118.30,182.24,69.90
2002-06-25,121.60,117.98,182.51,69.52
2002-06-26,121.20,119.39,183.34,69.65
2002-06-27,120.15,118.04,183.24,67.72
2002-06-28,119.45,117.98,182.67,67.53
2002-07-01,119.80,118.95,183.61,67.26
2002-07-02,119.80,118.57,183.55,67.24
2002-07-03,120.15,118.07,183.99,67.43
2002-07-04,119.95,117.47,183.09,66.93
2002-07-05,120.45,117.51,183.57,66.96
2002-07-08,119.40,116.95,182.49,66.68
2002-07-09,118.90,117.54,183.25,66.99
2002-07-10,118.20,117.21,182.84,67.13
2002-07-11,117.65,116.23,182.29,66.52
2002-07-12,117.25,115.75,181.89,65.52
2002-07-15,116.50,115.82,181.01,65.27
2002-07-16,116.35,117.16,182.87,65.20
2002-07-17,116.00,117.32,182.56,64.61
2002-07-18,116.55,117.24,182.95,64.24
2002-07-19,116.40,117.92,183.47,64.50
2002-07-22,116.15,117.43,183.05,64.52
2002-07-23,116.60,116.90,183.60,63.73
2002-07-24,117.50,116.20,183.92,63.54
2002-07-25,116.55,116.04,183.40,63.36
